date,channel,campaign_name,campaign_id,dma_name,state,spend,impressions,clicks,video_views,video_25pct,video_50pct,video_75pct,video_completes,optimization_goal,age_target,audience_segment
2024-06-28,Pinterest,Pinterest Always On,PI_4556,"Columbus, GA",GA,169.62,10639,289,3566,3102,2131,1686,1457,Traffic,35-44,Moms & Daughters
2024-04-02,Pinterest,Pinterest BTS Moms,PI_6623,"Savannah, GA",GA,95.16,4063,45,2290,1930,1273,998,923,Traffic,35-44,Suburban Moms
2023-06-27,Pinterest,Pinterest Teen Trends,PI_4922,"Augusta, GA",GA,289.92,19104,330,8361,7315,4714,4184,3234,Conversions,25-34,Moms & Daughters
2024-04-17,Pinterest,Pinterest BTS Moms,PI_6623,"Atlanta, GA",GA,331.1,18737,246,8889,5545,3472,2594,1593,Traffic,25-34,Suburban Moms
2024-05-12,Pinterest,Pinterest Teen Trends,PI_4922,"Macon, GA",GA,105.86,6981,175,4084,2961,2128,1319,1004,Traffic,35-44,Suburban Moms
2023-05-24,Pinterest,Pinterest BTS Moms,PI_6623,"Macon, GA",GA,43.68,2142,47,705,515,328,278,219,Video Views,13-17,Moms & Daughters
2023-03-31,Pinterest,Pinterest BTS Moms,PI_6623,"Macon, GA",GA,205.55,13727,423,6030,5126,3564,3093,1972,Video Views,18-24,Suburban Moms
2024-06-13,Pinterest,Pinterest BTS Moms,PI_6623,"Macon, GA",GA,88.8,5133,165,3057,2645,1962,1595,1306,Conversions,25-34,Suburban Moms
2024-06-02,Pinterest,Pinterest Always On,PI_4556,"Macon, GA",GA,87.21,5786,117,2995,1914,1406,896,628,Traffic,25-34,Moms & Daughters
2023-07-08,Pinterest,Pinterest Teen Trends,PI_4922,"Columbus, GA",GA,146.4,7482,154,2800,2335,1435,1078,841,Conversions,35-44,Suburban Moms
2023-03-05,Pinterest,Pinterest Teen Trends,PI_4922,"Augusta, GA",GA,353.48,16375,473,6726,4070,3474,3106,2435,Conversions,13-17,Teen Daughters
2023-07-10,Pinterest,Pinterest Teen Trends,PI_4922,"Macon, GA",GA,105.39,5550,68,2198,1769,1287,885,572,Video Views,25-34,Teen Daughters
2023-04-11,Pinterest,Pinterest Teen Trends,PI_4922,"Savannah, GA",GA,163.88,11254,255,5847,3852,3231,2633,1872,Traffic,25-34,Moms & Daughters
2023-08-21,Pinterest,Pinterest Teen Trends,PI_4922,"Savannah, GA",GA,105.3,6011,137,3146,2792,1815,1394,987,Video Views,18-24,Teen Daughters
2024-06-28,Pinterest,Pinterest BTS Moms,PI_6623,"Columbus, GA",GA,85.2,4405,60,2617,1703,1356,917,774,Video Views,25-34,Moms & Daughters
2023-08-04,Pinterest,Pinterest Teen Trends,PI_4922,"Columbus, GA",GA,225.0,12118,379,5498,4709,3556,2440,2260,Conversions,13-17,Moms & Daughters
2023-03-16,Pinterest,Pinterest Always On,PI_4556,"Macon, GA",GA,128.66,8087,208,4469,3489,2319,1661,1516,Video Views,25-34,Teen Daughters
2023-11-10,Pinterest,Pinterest BTS Moms,PI_6623,"Augusta, GA",GA,141.55,5956,212,3277,2065,1478,1041,660,Conversions,25-34,Moms & Daughters
2023-11-27,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,83.51,3975,122,1883,1476,1311,1016,691,Video Views,13-17,Moms & Daughters
2023-09-26,Pinterest,Pinterest Teen Trends,PI_4922,"Savannah, GA",GA,110.95,5278,165,1879,1166,893,657,481,Video Views,35-44,Teen Daughters
2023-08-11,Pinterest,Pinterest Always On,PI_4556,"Macon, GA",GA,139.14,7664,188,4382,3795,3217,2016,1872,Conversions,35-44,Moms & Daughters
2023-11-24,Pinterest,Pinterest BTS Moms,PI_6623,"Macon, GA",GA,158.69,9686,239,3439,2246,1483,1196,987,Conversions,35-44,Suburban Moms
2024-06-14,Pinterest,Pinterest BTS Moms,PI_6623,"Macon, GA",GA,49.38,2631,101,1300,1129,834,723,642,Conversions,13-17,Moms & Daughters
2023-11-29,Pinterest,Pinterest Teen Trends,PI_4922,"Atlanta, GA",GA,227.24,14143,263,7628,5081,4465,3420,2337,Video Views,25-34,Teen Daughters
2023-01-28,Pinterest,Pinterest Always On,PI_4556,"Macon, GA",GA,111.22,6536,203,2640,1794,1391,850,801,Traffic,25-34,Suburban Moms
2023-11-21,Pinterest,Pinterest BTS Moms,PI_6623,"Columbus, GA",GA,75.45,4100,78,1770,1511,1351,943,727,Traffic,35-44,Teen Daughters
2023-06-12,Pinterest,Pinterest Teen Trends,PI_4922,"Atlanta, GA",GA,46.71,3091,100,1396,1235,908,732,594,Traffic,25-34,Moms & Daughters
2023-09-21,Pinterest,Pinterest Always On,PI_4556,"Macon, GA",GA,93.4,5591,137,2534,1909,1185,967,801,Traffic,13-17,Teen Daughters
2023-02-07,Pinterest,Pinterest BTS Moms,PI_6623,"Macon, GA",GA,100.54,5527,192,3220,2816,2417,1760,1180,Traffic,35-44,Suburban Moms
2023-06-18,Pinterest,Pinterest BTS Moms,PI_6623,"Augusta, GA",GA,210.01,10655,312,5032,4302,3419,2083,1653,Conversions,13-17,Suburban Moms
2024-06-15,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,137.35,6115,235,3223,1965,1223,1056,949,Traffic,35-44,Moms & Daughters
2023-03-23,Pinterest,Pinterest BTS Moms,PI_6623,"Macon, GA",GA,304.27,16641,639,5818,4495,3538,2779,2409,Video Views,35-44,Moms & Daughters
2023-01-10,Pinterest,Pinterest Teen Trends,PI_4922,"Augusta, GA",GA,235.2,10150,346,5099,3815,3301,2700,2173,Video Views,13-17,Teen Daughters
2023-11-26,Pinterest,Pinterest Teen Trends,PI_4922,"Atlanta, GA",GA,133.86,6075,100,2812,1955,1469,1309,873,Traffic,18-24,Suburban Moms
2023-04-10,Pinterest,Pinterest Always On,PI_4556,"Savannah, GA",GA,45.83,2109,51,967,863,644,521,406,Conversions,35-44,Suburban Moms
2023-11-30,Pinterest,Pinterest Always On,PI_4556,"Macon, GA",GA,249.57,16371,400,7145,6363,5376,3696,3433,Traffic,18-24,Teen Daughters
2024-03-28,Pinterest,Pinterest BTS Moms,PI_6623,"Macon, GA",GA,135.99,8483,288,3098,1905,1376,1045,660,Conversions,13-17,Moms & Daughters
2023-09-20,Pinterest,Pinterest Always On,PI_4556,"Columbus, GA",GA,214.97,10442,104,5657,3661,2805,2055,1367,Traffic,18-24,Suburban Moms
2023-06-26,Pinterest,Pinterest Teen Trends,PI_4922,"Columbus, GA",GA,158.88,8575,275,4098,3609,2572,2048,1620,Conversions,25-34,Teen Daughters
2023-05-14,Pinterest,Pinterest BTS Moms,PI_6623,"Macon, GA",GA,92.42,5319,133,2960,1782,1223,1018,802,Traffic,18-24,Teen Daughters
2023-03-21,Pinterest,Pinterest BTS Moms,PI_6623,"Macon, GA",GA,258.73,14023,460,6459,4542,2735,2253,2078,Video Views,18-24,Teen Daughters
2024-01-14,Pinterest,Pinterest BTS Moms,PI_6623,"Columbus, GA",GA,185.39,12259,296,4149,3493,2260,1890,1629,Video Views,25-34,Suburban Moms
2023-08-01,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,321.53,15699,215,6143,4204,3140,2624,1874,Traffic,25-34,Moms & Daughters
2023-04-28,Pinterest,Pinterest Teen Trends,PI_4922,"Atlanta, GA",GA,335.16,15578,301,4920,3363,2737,2310,1508,Conversions,25-34,Teen Daughters
2023-02-03,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,269.52,14897,566,8773,7355,6306,4558,4268,Video Views,25-34,Suburban Moms
2023-08-25,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,101.32,5652,110,2404,1940,1256,964,619,Conversions,25-34,Suburban Moms
2023-08-16,Pinterest,Pinterest Teen Trends,PI_4922,"Savannah, GA",GA,212.23,14156,496,6419,3966,2612,2207,1862,Conversions,18-24,Teen Daughters
2024-06-19,Pinterest,Pinterest BTS Moms,PI_6623,"Augusta, GA",GA,215.97,13196,399,7624,5112,3325,2442,1524,Traffic,18-24,Suburban Moms
2023-03-02,Pinterest,Pinterest BTS Moms,PI_6623,"Columbus, GA",GA,81.92,4413,162,2309,1934,1285,904,757,Video Views,35-44,Suburban Moms
2023-02-18,Pinterest,Pinterest Teen Trends,PI_4922,"Atlanta, GA",GA,144.29,9792,241,5715,3460,2509,1830,1299,Video Views,13-17,Teen Daughters
2024-06-20,Pinterest,Pinterest Always On,PI_4556,"Savannah, GA",GA,155.94,6539,95,3238,2802,1772,1232,1049,Traffic,35-44,Moms & Daughters
2023-10-25,Pinterest,Pinterest Always On,PI_4556,"Augusta, GA",GA,335.13,21973,720,12997,8713,5596,4901,4326,Traffic,13-17,Moms & Daughters
2023-04-10,Pinterest,Pinterest Always On,PI_4556,"Macon, GA",GA,141.76,9676,149,5363,4757,3632,2393,1805,Traffic,18-24,Suburban Moms
2023-08-01,Pinterest,Pinterest Teen Trends,PI_4922,"Savannah, GA",GA,422.94,25072,335,14531,9964,6322,5337,4635,Video Views,13-17,Moms & Daughters
2023-04-12,Pinterest,Pinterest Always On,PI_4556,"Savannah, GA",GA,104.24,7131,89,4199,3432,2556,1581,1185,Conversions,13-17,Moms & Daughters
2023-12-17,Pinterest,Pinterest Teen Trends,PI_4922,"Macon, GA",GA,172.32,7657,233,2345,1913,1477,1074,727,Video Views,13-17,Teen Daughters
2023-07-03,Pinterest,Pinterest Teen Trends,PI_4922,"Atlanta, GA",GA,47.96,2848,91,1329,962,745,476,382,Traffic,35-44,Moms & Daughters
2024-06-07,Pinterest,Pinterest BTS Moms,PI_6623,"Augusta, GA",GA,238.39,15404,518,5490,4861,3289,2514,1546,Conversions,13-17,Moms & Daughters
2023-09-30,Pinterest,Pinterest Teen Trends,PI_4922,"Augusta, GA",GA,191.15,10208,366,4233,2739,1881,1280,1190,Traffic,18-24,Teen Daughters
2023-09-09,Pinterest,Pinterest Always On,PI_4556,"Augusta, GA",GA,90.55,4855,164,1713,1286,1013,865,536,Conversions,18-24,Suburban Moms
2024-03-17,Pinterest,Pinterest Always On,PI_4556,"Augusta, GA",GA,270.93,17649,663,6805,5334,4327,2711,1833,Traffic,13-17,Teen Daughters
2023-01-08,Pinterest,Pinterest BTS Moms,PI_6623,"Savannah, GA",GA,178.72,8300,272,2718,1651,1152,799,614,Video Views,35-44,Suburban Moms
2023-04-27,Pinterest,Pinterest Always On,PI_4556,"Columbus, GA",GA,225.47,12740,154,4658,2903,1854,1268,804,Video Views,13-17,Suburban Moms
2024-01-20,Pinterest,Pinterest Always On,PI_4556,"Columbus, GA",GA,124.5,5258,137,1676,1482,1018,796,529,Conversions,35-44,Teen Daughters
2023-04-01,Pinterest,Pinterest Teen Trends,PI_4922,"Atlanta, GA",GA,146.33,6652,219,2816,2112,1617,1299,827,Traffic,25-34,Moms & Daughters
2023-11-06,Pinterest,Pinterest BTS Moms,PI_6623,"Columbus, GA",GA,219.51,13061,335,5290,4651,3509,2682,2316,Traffic,18-24,Moms & Daughters
2023-11-01,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,151.08,6186,119,3648,2570,1690,1236,1061,Conversions,35-44,Moms & Daughters
2023-09-03,Pinterest,Pinterest Teen Trends,PI_4922,"Macon, GA",GA,324.98,20522,697,9605,5847,4785,3952,2835,Video Views,35-44,Teen Daughters
2023-05-12,Pinterest,Pinterest Always On,PI_4556,"Augusta, GA",GA,252.35,12079,297,3797,3321,2353,1734,1379,Traffic,13-17,Moms & Daughters
2023-01-23,Pinterest,Pinterest BTS Moms,PI_6623,"Augusta, GA",GA,215.87,11086,268,3784,2298,1667,1263,996,Conversions,35-44,Moms & Daughters
2023-07-04,Pinterest,Pinterest Teen Trends,PI_4922,"Savannah, GA",GA,245.74,16928,302,8951,7710,5569,4280,3278,Traffic,13-17,Moms & Daughters
2023-12-11,Pinterest,Pinterest Always On,PI_4556,"Columbus, GA",GA,236.73,16400,379,6430,3924,2644,2145,1516,Conversions,18-24,Suburban Moms
2024-03-11,Pinterest,Pinterest Always On,PI_4556,"Augusta, GA",GA,124.66,4988,190,2628,1858,1635,1101,707,Conversions,18-24,Teen Daughters
2023-08-27,Pinterest,Pinterest Teen Trends,PI_4922,"Savannah, GA",GA,300.42,15439,459,4797,3450,2096,1435,1349,Traffic,18-24,Suburban Moms
2024-06-03,Pinterest,Pinterest Teen Trends,PI_4922,"Augusta, GA",GA,256.87,12130,154,5964,5136,3476,2110,1619,Traffic,13-17,Suburban Moms
2023-07-31,Pinterest,Pinterest Always On,PI_4556,"Macon, GA",GA,201.27,12419,422,5403,4394,2796,1843,1431,Conversions,18-24,Teen Daughters
2023-07-26,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,95.37,4517,150,1647,1387,1127,833,527,Video Views,25-34,Teen Daughters
2024-05-03,Pinterest,Pinterest BTS Moms,PI_6623,"Columbus, GA",GA,136.56,5924,140,3117,1929,1614,1193,1091,Video Views,35-44,Suburban Moms
2023-07-07,Pinterest,Pinterest Teen Trends,PI_4922,"Savannah, GA",GA,84.39,3492,104,1054,844,687,509,323,Video Views,25-34,Suburban Moms
2023-02-18,Pinterest,Pinterest Teen Trends,PI_4922,"Savannah, GA",GA,32.63,2062,40,727,643,577,394,302,Conversions,13-17,Suburban Moms
2023-02-21,Pinterest,Pinterest BTS Moms,PI_6623,"Atlanta, GA",GA,77.5,4200,140,1740,1116,861,726,582,Video Views,35-44,Suburban Moms
2023-10-25,Pinterest,Pinterest Teen Trends,PI_4922,"Augusta, GA",GA,207.67,13765,298,4742,4263,2678,1881,1607,Video Views,13-17,Suburban Moms
2023-09-29,Pinterest,Pinterest Teen Trends,PI_4922,"Macon, GA",GA,89.99,5314,206,1697,1360,1113,685,577,Conversions,25-34,Moms & Daughters
2023-11-05,Pinterest,Pinterest BTS Moms,PI_6623,"Augusta, GA",GA,92.96,6195,73,2168,1553,1205,778,580,Conversions,13-17,Moms & Daughters
2023-01-21,Pinterest,Pinterest Teen Trends,PI_4922,"Augusta, GA",GA,189.77,10613,249,3651,3021,2039,1279,936,Traffic,18-24,Suburban Moms
2023-03-27,Pinterest,Pinterest BTS Moms,PI_6623,"Savannah, GA",GA,133.14,7059,122,2231,1752,1273,772,728,Traffic,35-44,Suburban Moms
2023-01-24,Pinterest,Pinterest BTS Moms,PI_6623,"Savannah, GA",GA,209.5,9217,120,3967,2412,1480,1327,940,Traffic,25-34,Moms & Daughters
2023-09-20,Pinterest,Pinterest BTS Moms,PI_6623,"Macon, GA",GA,133.13,6985,241,3585,3139,2459,1618,1431,Traffic,13-17,Moms & Daughters
2024-03-03,Pinterest,Pinterest BTS Moms,PI_6623,"Atlanta, GA",GA,118.53,7880,182,4021,3157,1900,1509,1210,Traffic,35-44,Teen Daughters
2023-08-19,Pinterest,Pinterest Always On,PI_4556,"Columbus, GA",GA,193.87,13039,180,4405,3418,2791,2393,1711,Video Views,18-24,Moms & Daughters
2024-05-11,Pinterest,Pinterest Teen Trends,PI_4922,"Columbus, GA",GA,195.1,8917,95,2747,2458,2009,1293,776,Conversions,18-24,Moms & Daughters
2023-04-30,Pinterest,Pinterest BTS Moms,PI_6623,"Augusta, GA",GA,281.38,16672,607,6153,4731,3617,2298,1713,Video Views,13-17,Moms & Daughters
2023-12-04,Pinterest,Pinterest BTS Moms,PI_6623,"Atlanta, GA",GA,311.32,17415,490,7854,6620,4681,4141,3637,Video Views,18-24,Moms & Daughters
2023-09-15,Pinterest,Pinterest Teen Trends,PI_4922,"Augusta, GA",GA,226.08,11438,191,4581,3826,2349,1474,1127,Video Views,13-17,Teen Daughters
2024-01-22,Pinterest,Pinterest BTS Moms,PI_6623,"Macon, GA",GA,130.85,8396,291,2626,2160,1665,1052,860,Conversions,13-17,Suburban Moms
2023-05-17,Pinterest,Pinterest Teen Trends,PI_4922,"Columbus, GA",GA,79.54,4347,52,1866,1443,1150,874,528,Conversions,35-44,Moms & Daughters
2023-08-08,Pinterest,Pinterest Always On,PI_4556,"Columbus, GA",GA,261.23,13242,182,7808,5372,3667,3228,2879,Traffic,35-44,Suburban Moms
2023-11-21,Pinterest,Pinterest BTS Moms,PI_6623,"Augusta, GA",GA,77.89,3235,118,1011,623,396,238,188,Conversions,25-34,Moms & Daughters
2023-01-05,Pinterest,Pinterest Always On,PI_4556,"Macon, GA",GA,94.28,5225,100,2905,2539,1885,1407,1294,Conversions,35-44,Suburban Moms
2023-09-03,Pinterest,Pinterest Teen Trends,PI_4922,"Augusta, GA",GA,325.2,20421,406,7130,5637,4226,3697,3449,Conversions,13-17,Teen Daughters
2023-07-03,Pinterest,Pinterest Always On,PI_4556,"Columbus, GA",GA,91.35,5386,80,2971,2176,1540,1368,1034,Conversions,13-17,Moms & Daughters
2023-10-07,Pinterest,Pinterest Teen Trends,PI_4922,"Macon, GA",GA,118.49,6232,118,3127,2453,1800,1168,822,Video Views,35-44,Teen Daughters
2024-04-05,Pinterest,Pinterest Teen Trends,PI_4922,"Atlanta, GA",GA,132.5,7275,218,3426,2188,1376,1180,1077,Conversions,13-17,Moms & Daughters
2024-02-04,Pinterest,Pinterest Always On,PI_4556,"Augusta, GA",GA,230.18,12259,279,7103,5572,4806,3815,2831,Traffic,35-44,Moms & Daughters
2023-10-11,Pinterest,Pinterest BTS Moms,PI_6623,"Savannah, GA",GA,87.68,3907,47,2030,1380,1037,673,612,Traffic,35-44,Moms & Daughters
2024-05-10,Pinterest,Pinterest Teen Trends,PI_4922,"Columbus, GA",GA,33.96,1648,51,549,480,352,245,156,Video Views,25-34,Suburban Moms
2023-11-08,Pinterest,Pinterest BTS Moms,PI_6623,"Columbus, GA",GA,145.15,5851,94,2334,1930,1233,1038,748,Conversions,25-34,Suburban Moms
2023-03-26,Pinterest,Pinterest BTS Moms,PI_6623,"Atlanta, GA",GA,233.0,15325,491,7351,4951,3413,2709,2540,Video Views,25-34,Suburban Moms
2023-04-22,Pinterest,Pinterest Teen Trends,PI_4922,"Atlanta, GA",GA,381.4,21614,810,7283,4974,3383,2972,1949,Traffic,25-34,Suburban Moms
2024-06-04,Pinterest,Pinterest Always On,PI_4556,"Macon, GA",GA,212.85,9356,203,2910,1977,1384,1112,922,Conversions,18-24,Moms & Daughters
2023-10-06,Pinterest,Pinterest Always On,PI_4556,"Columbus, GA",GA,59.91,3545,108,1471,1119,898,676,476,Traffic,13-17,Suburban Moms
2023-10-19,Pinterest,Pinterest BTS Moms,PI_6623,"Macon, GA",GA,85.9,3736,44,2047,1462,1201,845,782,Video Views,25-34,Moms & Daughters
2024-04-25,Pinterest,Pinterest Teen Trends,PI_4922,"Augusta, GA",GA,21.03,1065,32,359,287,247,192,154,Traffic,35-44,Teen Daughters
2023-05-25,Pinterest,Pinterest Teen Trends,PI_4922,"Augusta, GA",GA,130.96,6501,210,2390,1835,1248,1036,753,Traffic,25-34,Moms & Daughters
2024-06-05,Pinterest,Pinterest Always On,PI_4556,"Macon, GA",GA,36.0,2491,32,1085,949,797,579,368,Video Views,35-44,Moms & Daughters
2023-06-18,Pinterest,Pinterest Teen Trends,PI_4922,"Columbus, GA",GA,163.99,6842,201,3528,2378,1951,1287,868,Traffic,25-34,Teen Daughters
2023-04-24,Pinterest,Pinterest BTS Moms,PI_6623,"Atlanta, GA",GA,35.36,1761,54,896,665,486,394,300,Video Views,35-44,Suburban Moms
2023-03-15,Pinterest,Pinterest BTS Moms,PI_6623,"Atlanta, GA",GA,193.5,12754,398,5121,4145,3359,2622,2408,Video Views,13-17,Teen Daughters
2024-02-17,Pinterest,Pinterest Always On,PI_4556,"Columbus, GA",GA,594.45,37860,878,17668,13407,9954,6896,4896,Conversions,18-24,Moms & Daughters
2024-02-06,Pinterest,Pinterest Teen Trends,PI_4922,"Macon, GA",GA,258.1,14395,197,5379,4325,2605,1656,1097,Traffic,35-44,Teen Daughters
2023-09-21,Pinterest,Pinterest BTS Moms,PI_6623,"Atlanta, GA",GA,337.63,20914,746,9620,5968,3608,2394,2264,Video Views,35-44,Teen Daughters
2023-04-19,Pinterest,Pinterest Teen Trends,PI_4922,"Macon, GA",GA,155.3,7642,247,2435,1925,1518,1222,909,Traffic,18-24,Teen Daughters
2024-04-08,Pinterest,Pinterest Teen Trends,PI_4922,"Columbus, GA",GA,79.97,3866,150,1788,1556,1186,735,515,Video Views,13-17,Teen Daughters
2023-05-06,Pinterest,Pinterest BTS Moms,PI_6623,"Augusta, GA",GA,250.53,10403,168,5543,3836,3211,2675,2147,Conversions,13-17,Suburban Moms
2023-10-23,Pinterest,Pinterest Always On,PI_4556,"Atlanta, GA",GA,115.43,7217,161,3827,2776,1960,1276,886,Video Views,13-17,Suburban Moms
2024-01-04,Pinterest,Pinterest BTS Moms,PI_6623,"Atlanta, GA",GA,146.65,8078,223,3559,2361,1566,1175,816,Video Views,18-24,Moms & Daughters
2023-04-18,Pinterest,Pinterest Teen Trends,PI_4922,"Augusta, GA",GA,202.84,9625,128,3481,2877,2271,1629,1331,Conversions,13-17,Suburban Moms
2023-03-07,Pinterest,Pinterest BTS Moms,PI_6623,"Savannah, GA",GA,389.63,16435,630,9547,6289,4502,3501,2789,Video Views,25-34,Moms & Daughters
