event_datetime,user_id,session_id,page_url,traffic_source,traffic_medium,campaign,device_category,dma_name,state,zip_code
2023-12-01 09:07:00,u_1480,s_1076,/story/karen-lesac,instagram,paid_social,,tablet,"Columbus, GA",GA,318226
2023-12-01 09:04:00,u_121,s_2306,/sale/back-to-school,email,email,Black Friday 2023,mobile,"Atlanta, GA",GA,300013
2023-12-01 08:41:00,u_1175,s_1068,/moms/activewear,google,cpc,,mobile,"Macon, GA",GA,310628
2023-12-01 10:04:00,u_1288,s_5003,/story/karen-lesac,google,cpc,BTS 2024,mobile,"Augusta, GA",GA,308148
2023-12-01 20:47:00,u_931,s_613,/moms/new-arrivals,google,cpc,,tablet,"Augusta, GA",GA,308554
2023-12-01 15:48:00,u_645,s_1584,/sale/black-friday,tiktok,paid_social,,tablet,"Macon, GA",GA,310113
2023-12-01 18:56:00,u_283,s_1818,/sale/back-to-school,facebook,paid_social,Always On,mobile,"Savannah, GA",GA,313805
2023-12-01 13:27:00,u_1492,s_5712,/girls/tops,tiktok,paid_social,Always On,mobile,"Atlanta, GA",GA,302878
2023-12-01 14:23:00,u_62,s_5128,/sale/back-to-school,instagram,paid_social,,mobile,"Atlanta, GA",GA,301038
2023-12-01 17:53:00,u_926,s_2615,/girls/bottoms,email,email,Email Promo,tablet,"Atlanta, GA",GA,300877
2023-12-01 12:56:00,u_1032,s_877,/moms/new-arrivals,email,email,BTS 2024,tablet,"Augusta, GA",GA,309391
2023-12-01 16:05:00,u_251,s_3124,/girls/tops,google,cpc,Always On,desktop,"Augusta, GA",GA,309473
2023-12-01 19:35:00,u_1451,s_2191,/story/karen-lesac,direct,none,Always On,desktop,"Columbus, GA",GA,319915
2023-12-01 14:46:00,u_1033,s_1911,/moms/new-arrivals,direct,none,Email Promo,tablet,"Atlanta, GA",GA,302636
2023-12-01 15:27:00,u_1114,s_2200,/moms/new-arrivals,email,email,BTS 2024,desktop,"Macon, GA",GA,310042
2023-12-01 16:03:00,u_492,s_2820,/girls/new-arrivals,facebook,paid_social,Email Promo,mobile,"Columbus, GA",GA,319529
2023-12-01 10:13:00,u_488,s_1516,/story/karen-lesac,google,cpc,Black Friday 2023,tablet,"Savannah, GA",GA,313810
2023-12-01 18:41:00,u_1441,s_4218,/about,tiktok,paid_social,Black Friday 2023,mobile,"Macon, GA",GA,310487
2023-12-01 20:01:00,u_595,s_3863,/about,tiktok,paid_social,Black Friday 2023,desktop,"Macon, GA",GA,310950
2023-12-01 20:08:00,u_869,s_2038,/sale/back-to-school,instagram,paid_social,BTS 2023,desktop,"Atlanta, GA",GA,301895
2023-12-01 12:55:00,u_411,s_2020,/girls/new-arrivals,direct,none,Email Promo,mobile,"Savannah, GA",GA,313916
2023-12-01 09:45:00,u_1123,s_208,/sale/back-to-school,tiktok,paid_social,Black Friday 2023,tablet,"Atlanta, GA",GA,302770
2023-12-01 08:21:00,u_488,s_1717,/sale/black-friday,tiktok,paid_social,BTS 2023,mobile,"Macon, GA",GA,310906
2023-12-01 08:45:00,u_973,s_2385,/story/karen-lesac,instagram,paid_social,Black Friday 2023,mobile,"Augusta, GA",GA,308653
2023-12-01 18:00:00,u_292,s_2089,/moms/new-arrivals,email,email,BTS 2024,desktop,"Columbus, GA",GA,318198
2023-12-01 19:24:00,u_762,s_202,/sale,direct,none,Email Promo,desktop,"Savannah, GA",GA,314054
2023-12-01 15:48:00,u_591,s_2541,/sale,direct,none,,desktop,"Atlanta, GA",GA,300094
2023-12-01 14:03:00,u_780,s_4415,/girls/dresses,instagram,paid_social,Always On,mobile,"Augusta, GA",GA,309261
2023-12-01 14:37:00,u_317,s_4505,/girls/new-arrivals,facebook,paid_social,BTS 2023,tablet,"Augusta, GA",GA,308953
2023-12-01 11:23:00,u_1406,s_3897,/moms/activewear,tiktok,paid_social,Black Friday 2023,desktop,"Augusta, GA",GA,309438
2023-12-01 12:22:00,u_251,s_1026,/sale,tiktok,paid_social,BTS 2023,mobile,"Columbus, GA",GA,318198
2023-12-01 12:31:00,u_32,s_3747,/story/karen-lesac,email,email,Email Promo,desktop,"Savannah, GA",GA,314112
2023-12-01 18:05:00,u_255,s_3255,/,google,cpc,Black Friday 2023,mobile,"Augusta, GA",GA,309227
2023-12-01 19:13:00,u_1418,s_4102,/girls/new-arrivals,instagram,paid_social,Always On,mobile,"Atlanta, GA",GA,300087
2023-12-01 10:53:00,u_171,s_1664,/about,email,email,BTS 2024,desktop,"Savannah, GA",GA,313355
2023-12-01 10:54:00,u_119,s_3496,/story/karen-lesac,direct,none,,desktop,"Columbus, GA",GA,319813
2023-12-01 17:19:00,u_37,s_5874,/about,direct,none,Email Promo,mobile,"Atlanta, GA",GA,301587
2023-12-01 16:33:00,u_1214,s_2427,/girls/new-arrivals,direct,none,Email Promo,mobile,"Augusta, GA",GA,309674
2023-12-01 11:59:00,u_422,s_867,/moms/new-arrivals,tiktok,paid_social,BTS 2023,mobile,"Macon, GA",GA,310204
2023-12-01 20:39:00,u_35,s_2829,/girls/new-arrivals,google,cpc,,tablet,"Atlanta, GA",GA,302555
2023-12-01 12:04:00,u_1190,s_1301,/about,direct,none,,desktop,"Macon, GA",GA,310810
2023-12-01 09:43:00,u_916,s_4910,/moms/activewear,google,cpc,Always On,desktop,"Macon, GA",GA,310638
2023-12-01 18:16:00,u_645,s_1912,/girls/dresses,email,email,Always On,mobile,"Columbus, GA",GA,318725
2023-12-01 19:25:00,u_820,s_3187,/sale/black-friday,email,email,Email Promo,desktop,"Macon, GA",GA,310699
2023-12-01 17:19:00,u_37,s_2286,/about,tiktok,paid_social,Black Friday 2023,mobile,"Atlanta, GA",GA,301976
2023-12-01 16:08:00,u_1133,s_2885,/moms/tops,email,email,BTS 2023,tablet,"Savannah, GA",GA,313558
2023-12-01 18:35:00,u_1227,s_1800,/moms/activewear,instagram,paid_social,Always On,desktop,"Atlanta, GA",GA,302543
2023-12-01 17:41:00,u_1194,s_3568,/,facebook,paid_social,Black Friday 2023,desktop,"Atlanta, GA",GA,301460
2023-12-01 09:22:00,u_1066,s_822,/sale/back-to-school,direct,none,Email Promo,desktop,"Augusta, GA",GA,309994
2023-12-01 09:35:00,u_1072,s_477,/girls/bottoms,facebook,paid_social,Always On,desktop,"Macon, GA",GA,310685
2023-12-01 18:12:00,u_1399,s_1958,/moms/new-arrivals,instagram,paid_social,Email Promo,desktop,"Savannah, GA",GA,314739
2023-12-01 17:12:00,u_346,s_4348,/moms/new-arrivals,tiktok,paid_social,Black Friday 2023,mobile,"Augusta, GA",GA,309041
2023-12-01 12:28:00,u_39,s_1778,/,direct,none,Always On,tablet,"Augusta, GA",GA,308350
2023-12-01 14:00:00,u_113,s_1021,/about,tiktok,paid_social,BTS 2023,tablet,"Atlanta, GA",GA,300755
2023-12-01 14:37:00,u_658,s_2098,/moms/activewear,facebook,paid_social,Always On,desktop,"Augusta, GA",GA,309770
2023-12-01 11:58:00,u_1366,s_394,/sale,email,email,Always On,desktop,"Columbus, GA",GA,319942
2023-12-01 19:52:00,u_443,s_3400,/sale/back-to-school,instagram,paid_social,Black Friday 2023,tablet,"Savannah, GA",GA,314307
2023-12-01 17:33:00,u_82,s_1257,/,direct,none,Always On,desktop,"Atlanta, GA",GA,302917
2023-12-01 15:25:00,u_918,s_535,/girls/bottoms,instagram,paid_social,Black Friday 2023,mobile,"Savannah, GA",GA,313862
2023-12-01 21:25:00,u_545,s_5623,/sale/black-friday,facebook,paid_social,Email Promo,tablet,"Macon, GA",GA,310837
2023-12-01 13:10:00,u_1077,s_5593,/girls/new-arrivals,instagram,paid_social,Black Friday 2023,mobile,"Columbus, GA",GA,319114
2023-12-01 19:17:00,u_15,s_4877,/about,facebook,paid_social,Email Promo,desktop,"Atlanta, GA",GA,301051
2023-12-01 19:00:00,u_116,s_1450,/girls/tops,direct,none,BTS 2024,mobile,"Savannah, GA",GA,313152
2023-12-01 14:17:00,u_120,s_3032,/girls/new-arrivals,facebook,paid_social,BTS 2023,mobile,"Macon, GA",GA,310753
2023-12-01 10:57:00,u_1141,s_493,/girls/new-arrivals,direct,none,BTS 2024,desktop,"Savannah, GA",GA,314787
2023-12-01 20:47:00,u_126,s_695,/moms/tops,instagram,paid_social,Always On,tablet,"Augusta, GA",GA,309657
2023-12-01 08:41:00,u_1368,s_2004,/about,instagram,paid_social,BTS 2024,mobile,"Savannah, GA",GA,313909
2023-12-01 09:27:00,u_1294,s_4243,/moms/new-arrivals,instagram,paid_social,Black Friday 2023,tablet,"Columbus, GA",GA,319074
2023-12-01 11:07:00,u_585,s_885,/sale,email,email,BTS 2023,tablet,"Atlanta, GA",GA,301745
2023-12-01 08:05:00,u_703,s_4145,/girls/tops,tiktok,paid_social,Email Promo,desktop,"Savannah, GA",GA,314685
2023-12-01 15:39:00,u_1384,s_4023,/moms/tops,direct,none,BTS 2024,tablet,"Macon, GA",GA,310880
2023-12-01 18:52:00,u_740,s_2492,/moms/activewear,instagram,paid_social,BTS 2024,mobile,"Columbus, GA",GA,319055
2023-12-01 20:08:00,u_209,s_91,/sale,facebook,paid_social,,tablet,"Augusta, GA",GA,309095
2023-12-01 21:13:00,u_854,s_3737,/story/karen-lesac,tiktok,paid_social,Always On,mobile,"Macon, GA",GA,310126
2023-12-01 15:14:00,u_704,s_1518,/moms/activewear,facebook,paid_social,BTS 2023,mobile,"Columbus, GA",GA,319653
