podcast_name,episode_title,episode_release_date,mention_datetime,host_name,mentions_brand,mentions_founder,transcript_snippet,estimated_impressions,episode_rating,sentiment
Suburban Style Chats,Suburban Style Chats - May 21 2024,2024-05-21,2024-05-21 09:50:00,Danielle R.,1,0,"If your teen lives on TikTok, she already knows S'Belles.",10442,3.96,positive
Peach State Parenting,Peach State Parenting - Jan 12 2023,2023-01-12,2023-01-12 12:11:00,Tamara G.,0,0,We’re obsessed with S'Belles right now for back-to-school outfits.,8889,4.61,mixed
Mom Life in the ATL,Mom Life in the ATL - Jul 16 2023,2023-07-16,2023-07-16 17:46:00,Danielle R.,1,0,We’re obsessed with S'Belles right now for back-to-school outfits.,22344,3.7,positive
Suburban Style Chats,Suburban Style Chats - Jun 22 2023,2023-06-22,2023-06-22 16:20:00,Monica P.,1,0,S'Belles has the cutest coordinated looks for moms and daughters.,6677,4.43,positive
Mom Life in the ATL,Mom Life in the ATL - Apr 23 2023,2023-04-23,2023-04-23 13:28:00,Tamara G.,1,0,We’re obsessed with S'Belles right now for back-to-school outfits.,12694,3.74,positive
Mom Life in the ATL,Mom Life in the ATL - Feb 24 2024,2024-02-24,2024-02-24 14:34:00,Monica P.,0,0,Founder Karen LeSac built S'Belles for busy suburban moms.,13066,4.26,neutral
Peach State Parenting,Peach State Parenting - Apr 03 2023,2023-04-03,2023-04-03 16:42:00,Tamara G.,1,1,Karen LeSac from S'Belles joined us to talk about fast fashion and sustainability.,7010,3.77,positive
Carpool Chronicles GA,Carpool Chronicles GA - May 27 2023,2023-05-27,2023-05-27 11:55:00,Danielle R.,1,0,We’re obsessed with S'Belles right now for back-to-school outfits.,12399,4.24,positive
Teen Trend Watch,Teen Trend Watch - Feb 10 2023,2023-02-10,2023-02-10 21:01:00,Lisa K.,1,0,Founder Karen LeSac built S'Belles for busy suburban moms.,6479,3.79,mixed
Mom Life in the ATL,Mom Life in the ATL - Mar 02 2024,2024-03-02,2024-03-02 17:26:00,Monica P.,1,0,Karen LeSac from S'Belles joined us to talk about fast fashion and sustainability.,11178,4.51,positive
Peach State Parenting,Peach State Parenting - Jun 25 2024,2024-06-25,2024-06-25 17:37:00,Lisa K.,1,1,We’re obsessed with S'Belles right now for back-to-school outfits.,10779,4.14,mixed
Carpool Chronicles GA,Carpool Chronicles GA - Feb 22 2024,2024-02-22,2024-02-22 19:43:00,Tamara G.,0,1,We’re obsessed with S'Belles right now for back-to-school outfits.,11506,4.36,mixed
Carpool Chronicles GA,Carpool Chronicles GA - Jan 07 2024,2024-01-07,2024-01-07 18:33:00,Danielle R.,1,0,Karen LeSac from S'Belles joined us to talk about fast fashion and sustainability.,9159,4.74,mixed
Suburban Style Chats,Suburban Style Chats - Jun 11 2024,2024-06-11,2024-06-11 15:26:00,Danielle R.,1,0,Founder Karen LeSac built S'Belles for busy suburban moms.,9825,4.59,mixed
Teen Trend Watch,Teen Trend Watch - Jun 23 2024,2024-06-23,2024-06-23 19:46:00,Amy B.,1,0,Karen LeSac from S'Belles joined us to talk about fast fashion and sustainability.,6964,4.22,mixed
Suburban Style Chats,Suburban Style Chats - Feb 15 2024,2024-02-15,2024-02-15 10:08:00,Danielle R.,1,0,Karen LeSac from S'Belles joined us to talk about fast fashion and sustainability.,10117,4.07,positive
Mom Life in the ATL,Mom Life in the ATL - Aug 12 2023,2023-08-12,2023-08-12 11:09:00,Lisa K.,0,1,We’re obsessed with S'Belles right now for back-to-school outfits.,22634,4.78,neutral
Carpool Chronicles GA,Carpool Chronicles GA - Jun 11 2024,2024-06-11,2024-06-11 09:48:00,Monica P.,1,0,We’re obsessed with S'Belles right now for back-to-school outfits.,8363,4.86,positive
Mom Life in the ATL,Mom Life in the ATL - Jan 11 2024,2024-01-11,2024-01-11 10:36:00,Amy B.,1,1,We’re obsessed with S'Belles right now for back-to-school outfits.,6138,4.81,positive
Carpool Chronicles GA,Carpool Chronicles GA - May 05 2024,2024-05-05,2024-05-05 09:55:00,Amy B.,1,0,S'Belles has the cutest coordinated looks for moms and daughters.,10213,4.04,positive
Carpool Chronicles GA,Carpool Chronicles GA - Apr 14 2023,2023-04-14,2023-04-14 11:03:00,Tamara G.,0,0,We’re obsessed with S'Belles right now for back-to-school outfits.,6453,4.65,neutral
Carpool Chronicles GA,Carpool Chronicles GA - Jul 25 2023,2023-07-25,2023-07-25 21:44:00,Monica P.,1,1,S'Belles has the cutest coordinated looks for moms and daughters.,13564,3.96,neutral
Carpool Chronicles GA,Carpool Chronicles GA - Sep 25 2023,2023-09-25,2023-09-25 21:42:00,Lisa K.,0,0,"If your teen lives on TikTok, she already knows S'Belles.",9540,4.18,positive
Peach State Parenting,Peach State Parenting - Jul 20 2023,2023-07-20,2023-07-20 18:13:00,Danielle R.,1,0,S'Belles has the cutest coordinated looks for moms and daughters.,17194,3.79,positive
Mom Life in the ATL,Mom Life in the ATL - Apr 03 2023,2023-04-03,2023-04-03 16:47:00,Lisa K.,1,0,S'Belles has the cutest coordinated looks for moms and daughters.,7379,4.72,positive
Carpool Chronicles GA,Carpool Chronicles GA - Feb 20 2024,2024-02-20,2024-02-20 15:06:00,Danielle R.,1,0,Karen LeSac from S'Belles joined us to talk about fast fashion and sustainability.,9743,3.46,mixed
Teen Trend Watch,Teen Trend Watch - Feb 08 2023,2023-02-08,2023-02-08 16:50:00,Lisa K.,1,0,Karen LeSac from S'Belles joined us to talk about fast fashion and sustainability.,6506,4.16,neutral
